GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
RobotArdu,de.fhg.iais.roberta.syntax.codegen.arduino,ArduinoVisitor,1129,676,75,40,200,144,68,32,11,16
RobotArdu,de.fhg.iais.roberta.syntax.codegen.arduino,ArduinoVisitor.new Object() {...},37,243,0,0,0,5,0,1,0,1
RobotArdu,de.fhg.iais.roberta.factory.arduino.uno,Factory,0,5,0,0,0,2,0,1,0,1
RobotArdu,de.fhg.iais.roberta.syntax.codegen.arduino.bob3,CppVisitor,353,190,21,7,96,43,54,11,35,10
RobotArdu,de.fhg.iais.roberta.syntax.codegen.arduino.bob3,CppVisitor.new Object() {...},23,143,0,0,0,1,0,1,0,1
RobotArdu,de.fhg.iais.roberta.factory.arduino.botnroll,CompilerWorkflow,336,19,12,0,48,7,11,2,5,2
RobotArdu,de.fhg.iais.roberta.factory.arduino.botnroll,Factory,139,93,9,1,23,17,26,4,21,4
RobotArdu,de.fhg.iais.roberta.syntax.actors.arduino.bob3,RecallAction,39,0,0,0,10,0,6,0,6,0
RobotArdu,de.fhg.iais.roberta.syntax.actors.arduino.bob3,BodyLEDAction,95,0,0,0,19,0,8,0,8,0
RobotArdu,de.fhg.iais.roberta.syntax.actors.arduino.bob3,ReceiveIRAction,39,0,0,0,10,0,6,0,6,0
RobotArdu,de.fhg.iais.roberta.syntax.actors.arduino.bob3,SendIRAction,78,0,0,0,15,0,7,0,7,0
RobotArdu,de.fhg.iais.roberta.syntax.actors.arduino.bob3,RememberAction,68,0,0,0,15,0,7,0,7,0
RobotArdu,de.fhg.iais.roberta.factory.arduino,ArduinoCompilerWorkflow,379,22,20,0,61,8,15,2,5,2
RobotArdu,de.fhg.iais.roberta.factory.arduino,ArduinoAbstractFactory,142,100,9,1,23,17,26,6,21,6
RobotArdu,de.fhg.iais.roberta.syntax.check.hardware.arduino.botnroll,UsedHardwareCollectorVisitor,14,7,0,0,7,3,7,1,7,1
RobotArdu,de.fhg.iais.roberta.factory.arduino.nano,Factory,5,0,0,0,2,0,1,0,1,0
RobotArdu,de.fhg.iais.roberta.factory.arduino.mega,Factory,5,0,0,0,2,0,1,0,1,0
RobotArdu,de.fhg.iais.roberta.syntax.codegen.arduino.mbot,CppVisitor.new Object() {...},24,157,0,0,0,3,0,1,0,1
RobotArdu,de.fhg.iais.roberta.syntax.codegen.arduino.mbot,CppVisitor,1006,958,104,36,180,151,106,42,33,22
RobotArdu,de.fhg.iais.roberta.syntax.check.hardware.arduino.arduino,UsedHardwareCollectorVisitor,13,115,1,5,6,26,7,9,6,7
RobotArdu,de.fhg.iais.roberta.syntax.codegen.arduino.arduino,CppVisitor.new Object() {...},30,205,0,0,0,6,0,1,0,1
RobotArdu,de.fhg.iais.roberta.syntax.codegen.arduino.arduino,CppVisitor,237,2744,23,97,49,499,39,100,18,35
RobotArdu,de.fhg.iais.roberta.factory.arduino.mbot,CompilerWorkflow,340,19,12,0,48,7,11,2,5,2
RobotArdu,de.fhg.iais.roberta.factory.arduino.mbot,Factory,144,98,9,1,24,18,27,5,22,5
RobotArdu,de.fhg.iais.roberta.syntax.check.hardware.arduino.bob3,UsedHardwareCollectorVisitor,53,19,2,0,16,7,14,4,13,4
RobotArdu,de.fhg.iais.roberta.syntax.check.program.arduino.mbot,BrickCheckVisitor,55,0,0,0,23,0,19,0,19,0
RobotArdu,de.fhg.iais.roberta.syntax.check.program.arduino.arduino,BrickCheckVisitor,379,0,54,0,102,0,56,0,28,0
