GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
RobotNXT,de.fhg.iais.roberta.syntax.check.program.nxt,SimulationCheckVisitor,4,0,0,0,2,0,1,0,1,0
RobotNXT,de.fhg.iais.roberta.syntax.check.program.nxt,BrickCheckVisitor,4,0,0,0,2,0,1,0,1,0
RobotNXT,de.fhg.iais.roberta.components.nxt,NxtConfiguration,81,234,20,14,22,48,17,11,4,7
RobotNXT,de.fhg.iais.roberta.components.nxt,NxtConfiguration.Builder,27,93,0,4,1,20,1,10,1,8
RobotNXT,de.fhg.iais.roberta.mode.general.nxt,PickColor,47,260,4,0,6,20,6,4,4,4
RobotNXT,de.fhg.iais.roberta.syntax.codegen.nxt,NxcVisitor.new Object() {...},99,639,0,0,0,11,0,1,0,1
RobotNXT,de.fhg.iais.roberta.syntax.codegen.nxt,NxcVisitor,1076,2349,186,159,227,462,164,115,24,41
RobotNXT,de.fhg.iais.roberta.syntax.codegen.nxt,SimulationVisitor,230,604,15,19,39,107,21,26,11,19
RobotNXT,de.fhg.iais.roberta.transformer.nxt,Jaxb2NxtConfigurationTransformer,277,301,21,15,57,47,19,11,3,7
RobotNXT,de.fhg.iais.roberta.factory.nxt,SimCompilerWorkflow,35,7,2,0,11,3,6,2,5,2
RobotNXT,de.fhg.iais.roberta.factory.nxt,Factory,131,76,8,0,20,15,23,4,19,4
RobotNXT,de.fhg.iais.roberta.factory.nxt,CompilerWorkflow,248,13,12,0,41,5,11,2,5,2
RobotNXT,de.fhg.iais.roberta.syntax.check.hardware.nxt,UsedHardwareCollectorVisitor,0,42,0,0,0,15,0,6,0,6
