GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
RobotNAO,de.fhg.iais.roberta.syntax.action.nao,GetLanguage,5,34,0,0,1,9,1,5,1,5
RobotNAO,de.fhg.iais.roberta.syntax.action.nao,PlayFile,9,75,1,1,2,14,3,5,2,5
RobotNAO,de.fhg.iais.roberta.syntax.action.nao,Stop,5,34,0,0,1,9,1,5,1,5
RobotNAO,de.fhg.iais.roberta.syntax.action.nao,RecordVideo,52,120,0,0,12,24,6,4,6,4
RobotNAO,de.fhg.iais.roberta.syntax.action.nao,LedReset,8,66,0,0,2,13,2,5,2,5
RobotNAO,de.fhg.iais.roberta.syntax.action.nao,SetMode,8,69,0,0,2,14,2,5,2,5
RobotNAO,de.fhg.iais.roberta.syntax.action.nao,TurnDegrees,3,108,0,0,1,24,1,7,1,7
RobotNAO,de.fhg.iais.roberta.syntax.action.nao,Hand,29,78,0,0,7,14,3,5,3,5
RobotNAO,de.fhg.iais.roberta.syntax.action.nao,SetVolume,8,70,0,0,2,13,2,5,2,5
RobotNAO,de.fhg.iais.roberta.syntax.action.nao,RastaDuration,8,70,0,0,2,13,2,5,2,5
RobotNAO,de.fhg.iais.roberta.syntax.action.nao,MoveJoint,32,107,0,0,8,23,3,6,3,6
RobotNAO,de.fhg.iais.roberta.syntax.action.nao,ForgetFace,1,83,1,1,0,16,1,7,0,7
RobotNAO,de.fhg.iais.roberta.syntax.action.nao,RandomEyesDuration,8,70,0,0,2,13,2,5,2,5
RobotNAO,de.fhg.iais.roberta.syntax.action.nao,Animation,8,69,0,0,2,14,2,5,2,5
RobotNAO,de.fhg.iais.roberta.syntax.action.nao,WalkTo,0,136,0,0,0,28,0,9,0,9
RobotNAO,de.fhg.iais.roberta.syntax.action.nao,ApplyPosture,3,74,0,0,1,15,1,6,1,6
RobotNAO,de.fhg.iais.roberta.syntax.action.nao,TakePicture,34,85,1,1,8,14,5,4,4,4
RobotNAO,de.fhg.iais.roberta.syntax.action.nao,WalkDistance,0,111,0,0,0,25,0,8,0,8
RobotNAO,de.fhg.iais.roberta.syntax.action.nao,SetLeds,31,79,0,0,8,13,4,4,4,4
RobotNAO,de.fhg.iais.roberta.syntax.action.nao,LedOff,8,66,0,0,2,13,2,5,2,5
RobotNAO,de.fhg.iais.roberta.syntax.action.nao,Autonomous,3,74,0,0,1,15,1,6,1,6
RobotNAO,de.fhg.iais.roberta.syntax.action.nao,WalkAsync,14,122,0,0,4,24,4,5,4,5
RobotNAO,de.fhg.iais.roberta.syntax.action.nao,SetStiffness,6,99,0,0,2,19,2,6,2,6
RobotNAO,de.fhg.iais.roberta.syntax.action.nao,SetIntensity,31,79,0,0,8,13,4,4,4,4
RobotNAO,de.fhg.iais.roberta.syntax.action.nao,GetVolume,5,34,0,0,1,9,1,5,1,5
RobotNAO,de.fhg.iais.roberta.syntax.action.nao,LearnFace,1,83,1,1,0,16,1,7,0,7
RobotNAO,de.fhg.iais.roberta.syntax.action.nao,PointLookAt,68,156,0,0,16,28,8,4,8,4
RobotNAO,de.fhg.iais.roberta.javaServer.restServices.robot.nao,Update,80,0,0,0,16,0,4,0,4,0
RobotNAO,de.fhg.iais.roberta.syntax.codegen.nao,PythonVisitor.new Object() {...},894,0,0,0,15,0,1,0,1,0
RobotNAO,de.fhg.iais.roberta.syntax.codegen.nao,PythonVisitor,2726,553,299,25,616,125,293,31,56,22
RobotNAO,de.fhg.iais.roberta.syntax.sensor.nao,FsrSensor,0,41,0,0,0,7,0,4,0,4
RobotNAO,de.fhg.iais.roberta.syntax.sensor.nao,DetectFace,0,42,0,0,0,7,0,4,0,4
RobotNAO,de.fhg.iais.roberta.syntax.sensor.nao,GetSampleSensor,332,0,26,0,69,0,27,0,10,0
RobotNAO,de.fhg.iais.roberta.syntax.sensor.nao,NaoMarkInformation,0,83,0,0,0,16,0,7,0,7
RobotNAO,de.fhg.iais.roberta.syntax.sensor.nao,DetectedFaceInformation,0,82,0,0,0,16,0,7,0,7
RobotNAO,de.fhg.iais.roberta.syntax.sensor.nao,ElectricCurrent,0,41,0,0,0,7,0,4,0,4
RobotNAO,de.fhg.iais.roberta.syntax.sensor.nao,RecognizeWord,27,57,1,1,5,11,3,5,2,5
RobotNAO,de.fhg.iais.roberta.syntax.sensor.nao,DetectedMark,0,42,0,0,0,7,0,4,0,4
RobotNAO,de.fhg.iais.roberta.transformer.nao,Jaxb2NaoConfigurationTransformer,241,0,8,0,45,0,12,0,8,0
RobotNAO,de.fhg.iais.roberta.syntax.lang.expr.nao,ColorHexString,30,55,1,1,9,10,7,4,6,4
RobotNAO,de.fhg.iais.roberta.mode.action.nao,Led,41,195,6,6,4,12,6,6,1,5
RobotNAO,de.fhg.iais.roberta.mode.action.nao,Resolution,35,117,6,6,3,13,7,5,1,5
RobotNAO,de.fhg.iais.roberta.mode.action.nao,PointLook,31,105,4,8,3,13,5,7,1,5
RobotNAO,de.fhg.iais.roberta.mode.action.nao,RelativeAbsolute,31,105,4,8,3,13,5,7,1,5
